Study (cluster) (2018),Observation # (2018),Study sorting,Reference,Publication type,Year published,Year (data collection),$ value reported based on year,Type of source,Action,Technique type,Specific technique,Reef Restoration and Adaptation Plan Report Technique,Number of coral colonies/fragments,Species,Location,Latitude,Longitude,Country,Country Code,Income group,Cost (including),Total project costs reported (capital costs and operating costs),"Capital costs reported (planning, purchasing, land acquisition, construction, and financing)","Operating costs reported (maintenance, monitoring, and equipment repair and replacement)",Monitoring costs included,Construction costs included,In-kind costs (volunteers),Funding: Government,Funding: NGO,Funding: volunteers,Funding: private,Notes to funding,Primary motivation category,Secondary motivation category,Tertiary motivation category,SER Concept 1: Reference ecosystems,"SER Concept 2a: Clear targets and goals, SMART objectives",SER Concept 2b: Specific and measurable indicators to evaluate targets/goals/ objectives,SER Concept 2c: Adaptive management,SER Concept 3: Assessing capacity for natural recovery,SER Concept 4: Aiming for full ecosystem recovery ,"SER Concept 5: Restoration draws on all relevant knowledge (science, practice and traditional knowledge)",SER Concept 6: Early and ongoing stakeholder engagement with communities and end-users,Primary Attribute Category,Secondary Attribute Category,Variable 1,Attribute Category Variable 1,Sub-attribute Category Variable 1,Variable 2,Attribute Category Variable 2,Sub-attribute Category Variable 2,Variable 3,Attribute Category Variable 3,Sub-attribute Category Variable 3,Variable 4,Attribute Category Variable 4,Sub-attribute Category Variable 4,Variable 5,Attribute Category Variable 5,Sub-attribute Category Variable 5,Variable 6,Attribute Category Variable 6,Sub-attribute Category Variable 6,Variable 7,Attribute Category Variable 7,Sub-attribute Category Variable 7,Variable 8,Attribute Category Variable 8,Sub-attribute Category Variable 8,Variable 9,Attribute Category Variable 9,Sub-attribute Category Variable 9,Variable 10,Attribute Category Variable 10,Sub-attribute Category Variable 10,Variable 11,Attribute Category Variable 11,Sub-attribute Category Variable 11,Variable 12,Attribute Category Variable 12,Sub-attribute Category Variable 12,Variable 13,Attribute Category Variable 13,Sub-attribute Category Variable 13,Variable 14,Attribute Category Variable 14,Sub-attribute Category Variable 14,Variable 15,Attribute Category Variable 15,Sub-attribute Category Variable 15,Variable 16,Attribute Category Variable 16,Sub-attribute Category Variable 16,Variable 17,Attribute Category Variable 17,Sub-attribute Category Variable 17,Variable 18,Attribute Category Variable 18,Sub-attribute Category Variable 18,Ecological outcome,Economic outcome,Social outcome,Project duration (year),Spatial extent (ha),Year used in CPI conversion,Cost ($),Currency,Restoration cost in (US$ / ha),"Restoration cost in  (US$ / ha) @2010 base, CPI","Restoration cost in (US$ / ha / yr) @2010 base, CPI","Restoration cost in (Int$ / ha) @2010 base, GDP (PPP)","Restoration cost in (Int$ / ha / yr) @2010 base, GDP (PPP)",Feasibility (reasons for failure/success),Pre-transplant average survival (%),Transplant average survival (%),Post-transplant average survival (%),Average survival (%)
1,1,1,"Ammar M, Amin E, Gundacker D, Mueller W (2000) One rational strategy for restoration of coral reefs: Application of molecular biological tools to select sites for rehabilitation by asexual recruits. Mar Pollut Bull 40:618–627",journal,2000,,,primary,"Corals were collected from El-Fanadir, attached to plastic meshes and fixed to the ground by iron bars. Transplantation site was characterised by high sedimentation.",biological,transplanting of whole coral colonies,Direct transplantation,37,Pocillopora damicornis,"Marine Biological Station, Hurghada, Red Sea",27.284926,33.773457,Egypt,EGY,Lower middle income,,,,,,,,yes,,,,Grants from the Commission of the European Communities [project `CORAL REEF RESTORATION'; ERBIC18CT960034] and the International Human Frontier Science Program [RG-333/96-M].,"Improve restoration approach, technology, methods / Answer ecological research questions",Not reported,Not reported,No,Partially,Partially,No,No,No,No,No,Ecosystem function,Not reported,Survival,Ecosystem function,Survivorship,Mortality,Ecosystem function,Survivorship,Growth rate,Ecosystem function,"Growth, productivity",Attachment of corals to the substrate,Ecosystem function,"Growth, productivity",Host/symbiont genotype/genetics,Ecosystem function,Response to environmental stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Not reported,Not reported,1.0,NA,1999,NA,NA,NA,NA,NA,NA,NA,,,,8.1,8.1
1,2,,"Ammar M, Amin E, Gundacker D, Mueller W (2000) One rational strategy for restoration of coral reefs: Application of molecular biological tools to select sites for rehabilitation by asexual recruits. Mar Pollut Bull 40:618–627",journal,2000,,,primary,"Corals were collected from El-Fanadir, attached to plastic meshes and fixed to the ground by iron bars. Transplantation site was characterised by high sedimentation.",biological,transplanting of whole coral colonies,Direct transplantation,36,Acropora humilis,"Marine Biological Station, Hurghada, Red Sea",27.284926,33.773457,Egypt,EGY,Lower middle income,,,,,,,,yes,,,,Grants from the Commission of the European Communities [project `CORAL REEF RESTORATION'; ERBIC18CT960034] and the International Human Frontier Science Program [RG-333/96-M].,"Improve restoration approach, technology, methods / Answer ecological research questions",Not reported,Not reported,No,Partially,Partially,No,No,No,No,No,Ecosystem function,Not reported,Survival,Ecosystem function,Survivorship,Mortality,Ecosystem function,Survivorship,Growth rate,Ecosystem function,"Growth, productivity",Attachment of corals to the substrate,Ecosystem function,"Growth, productivity",Host/symbiont genotype/genetics,Ecosystem function,Response to environmental stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Not reported,Not reported,1.0,NA,1999,NA,NA,NA,NA,NA,NA,NA,,,,13.8,13.8
1,3,,"Ammar M, Amin E, Gundacker D, Mueller W (2000) One rational strategy for restoration of coral reefs: Application of molecular biological tools to select sites for rehabilitation by asexual recruits. Mar Pollut Bull 40:618–627",journal,2000,,,primary,"Corals were collected from El-Fanadir, attached to plastic meshes and fixed to the ground by iron bars. Transplantation site was characterised by high sedimentation.",biological,transplanting of whole coral colonies,Direct transplantation,54,Stylophora pistillata,"Marine Biological Station, Hurghada, Red Sea",27.284926,33.773457,Egypt,EGY,Lower middle income,,,,,,,,yes,,,,Grants from the Commission of the European Communities [project `CORAL REEF RESTORATION'; ERBIC18CT960034] and the International Human Frontier Science Program [RG-333/96-M].,"Improve restoration approach, technology, methods / Answer ecological research questions",Not reported,Not reported,No,Partially,Partially,No,No,No,No,No,Ecosystem function,Not reported,Survival,Ecosystem function,Survivorship,Mortality,Ecosystem function,Survivorship,Growth rate,Ecosystem function,"Growth, productivity",Attachment of corals to the substrate,Ecosystem function,"Growth, productivity",Host/symbiont genotype/genetics,Ecosystem function,Response to environmental stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Not reported,Not reported,1.0,NA,1999,NA,NA,NA,NA,NA,NA,NA,,,,11.1,11.1
1,4,,"Ammar M, Amin E, Gundacker D, Mueller W (2000) One rational strategy for restoration of coral reefs: Application of molecular biological tools to select sites for rehabilitation by asexual recruits. Mar Pollut Bull 40:618–627",journal,2000,,,primary,"Corals were collected from El-Fanadir, attached to plastic meshes and fixed to the ground by iron bars. Attachment of transplants was reinforced by epoxy resin. Transplantation site was characterised by high sedimentation.",biological,transplanting of whole coral colonies,Direct transplantation,56,Pocillopora damicornis,"Marine Biological Station, Hurghada, Red Sea",27.284926,33.773457,Egypt,EGY,Lower middle income,,,,,,,,yes,,,,Grants from the Commission of the European Communities [project `CORAL REEF RESTORATION'; ERBIC18CT960034] and the International Human Frontier Science Program [RG-333/96-M].,"Improve restoration approach, technology, methods / Answer ecological research questions",Not reported,Not reported,No,Partially,Partially,No,No,No,No,No,Ecosystem function,Not reported,Survival,Ecosystem function,Survivorship,Mortality,Ecosystem function,Survivorship,Growth rate,Ecosystem function,"Growth, productivity",Attachment of corals to the substrate,Ecosystem function,"Growth, productivity",Host/symbiont genotype/genetics,Ecosystem function,Response to environmental stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Not reported,Not reported,1.0,NA,1999,NA,NA,NA,NA,NA,NA,NA,,,,10.7,10.7
1,5,,"Ammar M, Amin E, Gundacker D, Mueller W (2000) One rational strategy for restoration of coral reefs: Application of molecular biological tools to select sites for rehabilitation by asexual recruits. Mar Pollut Bull 40:618–627",journal,2000,,,primary,"Corals were collected from El-Fanadir, attached to plastic meshes and fixed to the ground by iron bars. Attachment of transplants was reinforced by epoxy resin. Transplantation site was characterised by high sedimentation.",biological,transplanting of whole coral colonies,Direct transplantation,42,Acropora humilis,"Marine Biological Station, Hurghada, Red Sea",27.284926,33.773457,Egypt,EGY,Lower middle income,,,,,,,,yes,,,,Grants from the Commission of the European Communities [project `CORAL REEF RESTORATION'; ERBIC18CT960034] and the International Human Frontier Science Program [RG-333/96-M].,"Improve restoration approach, technology, methods / Answer ecological research questions",Not reported,Not reported,No,Partially,Partially,No,No,No,No,No,Ecosystem function,Not reported,Survival,Ecosystem function,Survivorship,Mortality,Ecosystem function,Survivorship,Growth rate,Ecosystem function,"Growth, productivity",Attachment of corals to the substrate,Ecosystem function,"Growth, productivity",Host/symbiont genotype/genetics,Ecosystem function,Response to environmental stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Not reported,Not reported,1.0,NA,1999,NA,NA,NA,NA,NA,NA,NA,,,,21.4,21.4
1,6,,"Ammar M, Amin E, Gundacker D, Mueller W (2000) One rational strategy for restoration of coral reefs: Application of molecular biological tools to select sites for rehabilitation by asexual recruits. Mar Pollut Bull 40:618–627",journal,2000,,,primary,"Corals were collected from El-Fanadir, attached to plastic meshes and fixed to the ground by iron bars. Transplantation site was characterised by high sedimentation.",biological,transplanting of whole coral colonies,Direct transplantation,11,Favia stelligera,"Marine Biological Station, Hurghada, Red Sea",27.284926,33.773457,Egypt,EGY,Lower middle income,,,,,,,,yes,,,,Grants from the Commission of the European Communities [project `CORAL REEF RESTORATION'; ERBIC18CT960034] and the International Human Frontier Science Program [RG-333/96-M].,"Improve restoration approach, technology, methods / Answer ecological research questions",Not reported,Not reported,No,Partially,Partially,No,No,No,No,No,Ecosystem function,Not reported,Survival,Ecosystem function,Survivorship,Mortality,Ecosystem function,Survivorship,Growth rate,Ecosystem function,"Growth, productivity",Attachment of corals to the substrate,Ecosystem function,"Growth, productivity",Host/symbiont genotype/genetics,Ecosystem function,Response to environmental stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Not reported,Not reported,1.0,NA,1999,NA,NA,NA,NA,NA,NA,NA,The massive coral Favia stelligera is the only species which stabilized after 6 months showing no increase in mortality from 6 months to one year.,,,63.6,63.6
1,7,,"Ammar M, Amin E, Gundacker D, Mueller W (2000) One rational strategy for restoration of coral reefs: Application of molecular biological tools to select sites for rehabilitation by asexual recruits. Mar Pollut Bull 40:618–627",journal,2000,,,primary,"Corals were collected from El-Fanadir, attached to plastic meshes and fixed to the ground by iron bars.  Transplantation site was characterised by clear water.",biological,transplanting of whole coral colonies,Direct transplantation,16,Acropora humilis,"El-Fanadir Reef, Leeward side, Hurghada, Red Sea",27.289979,33.823633,Egypt,EGY,Lower middle income,,,,,,,,yes,,,,Grants from the Commission of the European Communities [project `CORAL REEF RESTORATION'; ERBIC18CT960034] and the International Human Frontier Science Program [RG-333/96-M].,"Improve restoration approach, technology, methods / Answer ecological research questions",Not reported,Not reported,No,Partially,Partially,No,No,No,No,No,Ecosystem function,Not reported,Survival,Ecosystem function,Survivorship,Mortality,Ecosystem function,Survivorship,Growth rate,Ecosystem function,"Growth, productivity",Attachment of corals to the substrate,Ecosystem function,"Growth, productivity",Host/symbiont genotype/genetics,Ecosystem function,Response to environmental stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Not reported,Not reported,1.0,NA,1999,NA,NA,NA,NA,NA,NA,NA,The overall survival of transplanted coral colonies of approximately 70% after one year at El-Fanadir.,,,68.7,68.7
1,8,,"Ammar M, Amin E, Gundacker D, Mueller W (2000) One rational strategy for restoration of coral reefs: Application of molecular biological tools to select sites for rehabilitation by asexual recruits. Mar Pollut Bull 40:618–627",journal,2000,,,primary,"Corals were collected from El-Fanadir, attached to plastic meshes and fixed to the ground by iron bars.  Transplantation site was characterised by clear water.",biological,transplanting of whole coral colonies,Direct transplantation,15,Acropora verweyi,"El-Fanadir Reef, Leeward side, Hurghada, Red Sea",27.289979,33.823633,Egypt,EGY,Lower middle income,,,,,,,,yes,,,,Grants from the Commission of the European Communities [project `CORAL REEF RESTORATION'; ERBIC18CT960034] and the International Human Frontier Science Program [RG-333/96-M].,"Improve restoration approach, technology, methods / Answer ecological research questions",Not reported,Not reported,No,Partially,Partially,No,No,No,No,No,Ecosystem function,Not reported,Survival,Ecosystem function,Survivorship,Mortality,Ecosystem function,Survivorship,Growth rate,Ecosystem function,"Growth, productivity",Attachment of corals to the substrate,Ecosystem function,"Growth, productivity",Host/symbiont genotype/genetics,Ecosystem function,Response to environmental stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Not reported,Not reported,1.0,NA,1999,NA,NA,NA,NA,NA,NA,NA,The overall survival of transplanted coral colonies of approximately 70% after one year at El-Fanadir.,,,66.6,66.6
1,9,,"Ammar M, Amin E, Gundacker D, Mueller W (2000) One rational strategy for restoration of coral reefs: Application of molecular biological tools to select sites for rehabilitation by asexual recruits. Mar Pollut Bull 40:618–627",journal,2000,,,primary,"Corals were collected from El-Fanadir, attached to plastic meshes and fixed to the ground by iron bars.  Transplantation site was characterised by clear water.",biological,transplanting of whole coral colonies,Direct transplantation,18,Acropora hemprichii,"El-Fanadir Reef, Leeward side, Hurghada, Red Sea",27.289979,33.823633,Egypt,EGY,Lower middle income,,,,,,,,yes,,,,Grants from the Commission of the European Communities [project `CORAL REEF RESTORATION'; ERBIC18CT960034] and the International Human Frontier Science Program [RG-333/96-M].,"Improve restoration approach, technology, methods / Answer ecological research questions",Not reported,Not reported,No,Partially,Partially,No,No,No,No,No,Ecosystem function,Not reported,Survival,Ecosystem function,Survivorship,Mortality,Ecosystem function,Survivorship,Growth rate,Ecosystem function,"Growth, productivity",Attachment of corals to the substrate,Ecosystem function,"Growth, productivity",Host/symbiont genotype/genetics,Ecosystem function,Response to environmental stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Not reported,Not reported,1.0,NA,1999,NA,NA,NA,NA,NA,NA,NA,The overall survival of transplanted coral colonies of approximately 70% after one year at El-Fanadir.,,,55.5,55.5
1,10,,"Ammar M, Amin E, Gundacker D, Mueller W (2000) One rational strategy for restoration of coral reefs: Application of molecular biological tools to select sites for rehabilitation by asexual recruits. Mar Pollut Bull 40:618–627",journal,2000,,,primary,"Corals were collected from El-Fanadir, attached to plastic meshes and fixed to the ground by iron bars.  Transplantation site was characterised by clear water.",biological,transplanting of whole coral colonies,Direct transplantation,15,Stylophora pistillata,"El-Fanadir Reef, Leeward side, Hurghada, Red Sea",27.289979,33.823633,Egypt,EGY,Lower middle income,,,,,,,,yes,,,,Grants from the Commission of the European Communities [project `CORAL REEF RESTORATION'; ERBIC18CT960034] and the International Human Frontier Science Program [RG-333/96-M].,"Improve restoration approach, technology, methods / Answer ecological research questions",Not reported,Not reported,No,Partially,Partially,No,No,No,No,No,Ecosystem function,Not reported,Survival,Ecosystem function,Survivorship,Mortality,Ecosystem function,Survivorship,Growth rate,Ecosystem function,"Growth, productivity",Attachment of corals to the substrate,Ecosystem function,"Growth, productivity",Host/symbiont genotype/genetics,Ecosystem function,Response to environmental stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Not reported,Not reported,1.0,NA,1999,NA,NA,NA,NA,NA,NA,NA,The overall survival of transplanted coral colonies of approximately 70% after one year at El-Fanadir.,,,60.0,60.0
