is_coral_gardening,reference,year_published,year_data_collection,type_of_source,action,reef_restoration_and_adaptation_plan_report_technique,ecological_outcome,economic_outcome,social_outcome,feasibility_reasons_for_failure_success,ser_concept_1_reference_ecosystems,ser_concept_2a_clear_targets_and_goals_smart_objectives,ser_concept_2b_specific_and_measurable_indicators_to_evaluate_targets_goals_objectives,ser_concept_2c_adaptive_management,ser_concept_3_assessing_capacity_for_natural_recovery,ser_concept_4_aiming_for_full_ecosystem_recovery,ser_concept_5_restoration_draws_on_all_relevant_knowledge_science_practice_and_traditional_knowledge,ser_concept_6_early_and_ongoing_stakeholder_engagement_with_communities_and_end_users,variable_1,attribute_category_variable_1,sub_attribute_category_variable_1,variable_2,attribute_category_variable_2,sub_attribute_category_variable_2,variable_3,attribute_category_variable_3,sub_attribute_category_variable_3,variable_4,attribute_category_variable_4,sub_attribute_category_variable_4,variable_5,attribute_category_variable_5,sub_attribute_category_variable_5,variable_6,attribute_category_variable_6,sub_attribute_category_variable_6,variable_7,attribute_category_variable_7,sub_attribute_category_variable_7,variable_8,attribute_category_variable_8,sub_attribute_category_variable_8,variable_9,attribute_category_variable_9,sub_attribute_category_variable_9,variable_10,attribute_category_variable_10,sub_attribute_category_variable_10,variable_11,attribute_category_variable_11,sub_attribute_category_variable_11,variable_12,attribute_category_variable_12,sub_attribute_category_variable_12,variable_13,attribute_category_variable_13,sub_attribute_category_variable_13,variable_14,attribute_category_variable_14,sub_attribute_category_variable_14,variable_15,attribute_category_variable_15,sub_attribute_category_variable_15,variable_16,attribute_category_variable_16,sub_attribute_category_variable_16,variable_17,attribute_category_variable_17,sub_attribute_category_variable_17,variable_18,attribute_category_variable_18,sub_attribute_category_variable_18,primary_attribute_category,secondary_attribute_category
TRUE,"Bongiorni L, Giovanelli D, Rinkevich B, Pusceddu A, Chou L, Danovaro R (2011) First step in the restoration of a highly degraded coral reef (Sinapore) by in situ coral intensive farming. Aquaculture 322-323:191–200",2011,2005,primary,"In situ coral intensive farming was tested as an active reef rehabilitation strategy. 3000 nubbins from 13 coral species were farmed for 1 year in two nurseries: one was placed close to fish-farm pens and the other was located away from the direct influence of the fish-farm effluents. Every 2 weeks, nurseries were monitored for damages to constructions and cleaned from rust, sediments, algae and fouling organisms by gentle brushing or hand removing. Nursery locations were characterized as reefs that suffer from extreme sedimentation loads.",Coral gardening - Nursery phase,Yes,Not reported,Not reported,"Survivorship (loss resulted primarily from coral detachment, not coral death) significantly differed among species, and, within each species, between nurseries. Here, average value for survivorship of all coral species after 1 years is given.",No,Partially,Partially,No,No,No,No,No,Survival (of more than one species),Species composition,Survivorship of species,Growth (ecological volume),Ecosystem function,"Growth, productivity",Sedimentation rate (total downward particle flux),Physical conditions,Rate of sedimentation,Sedimentation rate (protein downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (carbohydrates downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (lipid downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (biopolymeric carbon downward flux),Physical conditions,Rate of sedimentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ecosystem function,Physical conditions
TRUE,"Bongiorni L, Giovanelli D, Rinkevich B, Pusceddu A, Chou L, Danovaro R (2011) First step in the restoration of a highly degraded coral reef (Sinapore) by in situ coral intensive farming. Aquaculture 322-323:191–200",2011,2005,primary,Coral nubbins (1–3 cm size) were grown for 1 year in shallow-water nursery (3.5-4 m water depth) at a location without the direct influence of fish-farm effluents.,Coral gardening - Nursery phase,Yes,Not reported,Not reported,Feasibility here described as % of nubbins that survived and/or were not lost in the course of 1 year.,No,Partially,Partially,No,No,No,No,No,Survival (of more than one species),Species composition,Survivorship of species,Growth (ecological volume),Ecosystem function,"Growth, productivity",Sedimentation rate (total downward particle flux),Physical conditions,Rate of sedimentation,Sedimentation rate (protein downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (carbohydrates downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (lipid downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (biopolymeric carbon downward flux),Physical conditions,Rate of sedimentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ecosystem function,Physical conditions
TRUE,"Bongiorni L, Giovanelli D, Rinkevich B, Pusceddu A, Chou L, Danovaro R (2011) First step in the restoration of a highly degraded coral reef (Sinapore) by in situ coral intensive farming. Aquaculture 322-323:191–200",2011,2005,primary,Coral nubbins (1–3 cm size) were grown for 1 year in shallow-water nursery (3.5-4 m water depth) at a location without the direct influence of fish-farm effluents.,Coral gardening - Nursery phase,Yes,Not reported,Not reported,Feasibility here described as % of nubbins that survived and/or were not lost in the course of 1 year.,No,Partially,Partially,No,No,No,No,No,Survival (of more than one species),Species composition,Survivorship of species,Growth (ecological volume),Ecosystem function,"Growth, productivity",Sedimentation rate (total downward particle flux),Physical conditions,Rate of sedimentation,Sedimentation rate (protein downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (carbohydrates downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (lipid downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (biopolymeric carbon downward flux),Physical conditions,Rate of sedimentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ecosystem function,Physical conditions
TRUE,"Bongiorni L, Giovanelli D, Rinkevich B, Pusceddu A, Chou L, Danovaro R (2011) First step in the restoration of a highly degraded coral reef (Sinapore) by in situ coral intensive farming. Aquaculture 322-323:191–200",2011,2005,primary,Coral nubbins (1–3 cm size) were grown for 1 year in shallow-water nursery (3.5-4 m water depth) at a location without the direct influence of fish-farm effluents.,Coral gardening - Nursery phase,Yes,Not reported,Not reported,Feasibility here described as % of nubbins that survived and/or were not lost in the course of 1 year.,No,Partially,Partially,No,No,No,No,No,Survival (of more than one species),Species composition,Survivorship of species,Growth (ecological volume),Ecosystem function,"Growth, productivity",Sedimentation rate (total downward particle flux),Physical conditions,Rate of sedimentation,Sedimentation rate (protein downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (carbohydrates downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (lipid downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (biopolymeric carbon downward flux),Physical conditions,Rate of sedimentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ecosystem function,Physical conditions
TRUE,"Bongiorni L, Giovanelli D, Rinkevich B, Pusceddu A, Chou L, Danovaro R (2011) First step in the restoration of a highly degraded coral reef (Sinapore) by in situ coral intensive farming. Aquaculture 322-323:191–200",2011,2005,primary,Coral nubbins (1–3 cm size) were grown for 1 year in shallow-water nursery (3.5-4 m water depth) at a location without the direct influence of fish-farm effluents.,Coral gardening - Nursery phase,Yes,Not reported,Not reported,Feasibility here described as % of nubbins that survived and/or were not lost in the course of 1 year.,No,Partially,Partially,No,No,No,No,No,Survival (of more than one species),Species composition,Survivorship of species,Growth (ecological volume),Ecosystem function,"Growth, productivity",Sedimentation rate (total downward particle flux),Physical conditions,Rate of sedimentation,Sedimentation rate (protein downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (carbohydrates downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (lipid downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (biopolymeric carbon downward flux),Physical conditions,Rate of sedimentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ecosystem function,Physical conditions
TRUE,"Bongiorni L, Giovanelli D, Rinkevich B, Pusceddu A, Chou L, Danovaro R (2011) First step in the restoration of a highly degraded coral reef (Sinapore) by in situ coral intensive farming. Aquaculture 322-323:191–200",2011,2005,primary,Coral nubbins (1–3 cm size) were grown for 1 year in shallow-water nursery (3.5-4 m water depth) at a location without the direct influence of fish-farm effluents.,Coral gardening - Nursery phase,Yes,Not reported,Not reported,Feasibility here described as % of nubbins that survived and/or were not lost in the course of 1 year.,No,Partially,Partially,No,No,No,No,No,Survival (of more than one species),Species composition,Survivorship of species,Growth (ecological volume),Ecosystem function,"Growth, productivity",Sedimentation rate (total downward particle flux),Physical conditions,Rate of sedimentation,Sedimentation rate (protein downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (carbohydrates downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (lipid downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (biopolymeric carbon downward flux),Physical conditions,Rate of sedimentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ecosystem function,Physical conditions
TRUE,"Bongiorni L, Giovanelli D, Rinkevich B, Pusceddu A, Chou L, Danovaro R (2011) First step in the restoration of a highly degraded coral reef (Sinapore) by in situ coral intensive farming. Aquaculture 322-323:191–200",2011,2005,primary,Coral nubbins (1–3 cm size) were grown for 1 year in shallow-water nursery (3.5-4 m water depth) at a location without the direct influence of fish-farm effluents.,Coral gardening - Nursery phase,Yes,Not reported,Not reported,Feasibility here described as % of nubbins that survived and/or were not lost in the course of 1 year.,No,Partially,Partially,No,No,No,No,No,Survival (of more than one species),Species composition,Survivorship of species,Growth (ecological volume),Ecosystem function,"Growth, productivity",Sedimentation rate (total downward particle flux),Physical conditions,Rate of sedimentation,Sedimentation rate (protein downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (carbohydrates downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (lipid downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (biopolymeric carbon downward flux),Physical conditions,Rate of sedimentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ecosystem function,Physical conditions
TRUE,"Bongiorni L, Giovanelli D, Rinkevich B, Pusceddu A, Chou L, Danovaro R (2011) First step in the restoration of a highly degraded coral reef (Sinapore) by in situ coral intensive farming. Aquaculture 322-323:191–200",2011,2005,primary,Coral nubbins (1–3 cm size) were grown for 1 year in shallow-water nursery (3.5-4 m water depth) at a location without the direct influence of fish-farm effluents.,Coral gardening - Nursery phase,Yes,Not reported,Not reported,Feasibility here described as % of nubbins that survived and/or were not lost in the course of 1 year.,No,Partially,Partially,No,No,No,No,No,Survival (of more than one species),Species composition,Survivorship of species,Growth (ecological volume),Ecosystem function,"Growth, productivity",Sedimentation rate (total downward particle flux),Physical conditions,Rate of sedimentation,Sedimentation rate (protein downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (carbohydrates downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (lipid downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (biopolymeric carbon downward flux),Physical conditions,Rate of sedimentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ecosystem function,Physical conditions
TRUE,"Bongiorni L, Giovanelli D, Rinkevich B, Pusceddu A, Chou L, Danovaro R (2011) First step in the restoration of a highly degraded coral reef (Sinapore) by in situ coral intensive farming. Aquaculture 322-323:191–200",2011,2005,primary,Coral nubbins (1–3 cm size) were grown for 1 year in shallow-water nursery (3.5-4 m water depth) at a location without the direct influence of fish-farm effluents.,Coral gardening - Nursery phase,Yes,Not reported,Not reported,Feasibility here described as % of nubbins that survived and/or were not lost in the course of 1 year.,No,Partially,Partially,No,No,No,No,No,Survival (of more than one species),Species composition,Survivorship of species,Growth (ecological volume),Ecosystem function,"Growth, productivity",Sedimentation rate (total downward particle flux),Physical conditions,Rate of sedimentation,Sedimentation rate (protein downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (carbohydrates downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (lipid downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (biopolymeric carbon downward flux),Physical conditions,Rate of sedimentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ecosystem function,Physical conditions
TRUE,"Bongiorni L, Giovanelli D, Rinkevich B, Pusceddu A, Chou L, Danovaro R (2011) First step in the restoration of a highly degraded coral reef (Sinapore) by in situ coral intensive farming. Aquaculture 322-323:191–200",2011,2005,primary,Coral nubbins (1–3 cm size) were grown for 1 year in shallow-water nursery (3.5-4 m water depth) at a location without the direct influence of fish-farm effluents.,Coral gardening - Nursery phase,Yes,Not reported,Not reported,Feasibility here described as % of nubbins that survived and/or were not lost in the course of 1 year.,No,Partially,Partially,No,No,No,No,No,Survival (of more than one species),Species composition,Survivorship of species,Growth (ecological volume),Ecosystem function,"Growth, productivity",Sedimentation rate (total downward particle flux),Physical conditions,Rate of sedimentation,Sedimentation rate (protein downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (carbohydrates downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (lipid downward flux),Physical conditions,Rate of sedimentation,Sedimentation rate (biopolymeric carbon downward flux),Physical conditions,Rate of sedimentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ecosystem function,Physical conditions
